end_time,artist_name,track_name,ms_played,minutes_played,date,year,month,hour,weekday,track_key
2025-06-20 20:20:00,Charlie Puth,Attention,208786,3.4797666666666665,2025-06-20,2025,6,20,Friday,charlie puth - attention
2025-06-20 20:25:00,Ed Sheeran,Photograph,258987,4.31645,2025-06-20,2025,6,20,Friday,ed sheeran - photograph
2025-06-20 20:28:00,Ariana Grande,One Last Time,197266,3.2877666666666667,2025-06-20,2025,6,20,Friday,ariana grande - one last time
2025-06-20 20:32:00,Camila Cabello,Never Be the Same,226974,3.7829,2025-06-20,2025,6,20,Friday,camila cabello - never be the same
2025-06-20 20:36:00,James Arthur,Car's Outside,248373,4.13955,2025-06-20,2025,6,20,Friday,james arthur - car's outside
2025-06-20 20:39:00,LAUV,I Like Me Better,197437,3.2906166666666667,2025-06-20,2025,6,20,Friday,lauv - i like me better
2025-06-20 20:43:00,Ed Sheeran,Shape of You,233712,3.8952,2025-06-20,2025,6,20,Friday,ed sheeran - shape of you
2025-06-20 20:46:00,Gracie Abrams,"I miss you, I’m sorry",167539,2.792316666666667,2025-06-20,2025,6,20,Friday,"gracie abrams - i miss you, i’m sorry"
2025-06-20 20:50:00,Ariana Grande,Stuck with U (with Justin Bieber),228482,3.8080333333333334,2025-06-20,2025,6,20,Friday,ariana grande - stuck with u (with justin bieber)
2025-06-20 21:00:00,One Direction,Right Now,48828,0.8138,2025-06-20,2025,6,21,Friday,one direction - right now
2025-06-21 20:26:00,Ed Sheeran,Sapphire,22744,0.37906666666666666,2025-06-21,2025,6,20,Saturday,ed sheeran - sapphire
2025-06-21 20:26:00,One Direction,Right Now,151975,2.5329166666666665,2025-06-21,2025,6,20,Saturday,one direction - right now
2025-06-21 20:30:00,Ariana Grande,Stuck with U (with Justin Bieber),228482,3.8080333333333334,2025-06-21,2025,6,20,Saturday,ariana grande - stuck with u (with justin bieber)
2025-06-21 20:34:00,James Arthur,Train Wreck,208826,3.4804333333333335,2025-06-21,2025,6,20,Saturday,james arthur - train wreck
2025-06-21 20:38:00,Camila Cabello,Never Be the Same,226974,3.7829,2025-06-21,2025,6,20,Saturday,camila cabello - never be the same
2025-06-21 20:41:00,Charlie Puth,Attention,208786,3.4797666666666665,2025-06-21,2025,6,20,Saturday,charlie puth - attention
2025-06-21 20:45:00,Ed Sheeran,Photograph,258987,4.31645,2025-06-21,2025,6,20,Saturday,ed sheeran - photograph
2025-06-21 20:49:00,One Direction,Perfect,230333,3.8388833333333334,2025-06-21,2025,6,20,Saturday,one direction - perfect
2025-06-21 20:52:00,Ariana Grande,One Last Time,197267,3.2877833333333335,2025-06-21,2025,6,20,Saturday,ariana grande - one last time
2025-06-21 20:56:00,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),218293,3.6382166666666667,2025-06-21,2025,6,20,Saturday,james arthur - rewrite the stars (with james arthur & anne-marie)
2025-06-21 20:59:00,Halsey,Without Me,201661,3.3610166666666665,2025-06-21,2025,6,20,Saturday,halsey - without me
